gen,nevals,avg,std,min,max
0,58,-3.8519027757292097,6.300949000736255,-14.683801347916564,20.235723281716503
1,58,-3.4830882563681858,7.4914050501302585,-17.30962453918843,22.854420846452708
2,58,-2.400484890849975,9.455540336168927,-18.45578674756034,32.61779961043419
3,58,2.452311251739079,11.466647403441247,-14.921768951085268,39.193232525904435
4,58,2.546335381418154,13.305191055656893,-19.873700439531547,41.00561366026671
5,58,4.817624079546627,13.692765720598167,-14.3404900739561,48.471378966540925
6,58,9.02203616123669,15.466097756976831,-10.59675630454619,70.09532512809989
7,58,10.843745584549456,14.575864185437915,-11.177986282311949,57.18241810562087
8,58,23.71060630987218,14.03568367940609,1.0828419790884922,56.719060493277134
9,58,21.513839979555247,16.09618955709803,-3.901953677817996,66.15076720867489
10,58,21.725333258391885,14.56201565970226,-2.526310877197929,75.04981939605749
11,58,21.945135096692955,14.779917609769232,-10.859778099494282,57.172493684593135
12,58,26.21742703433913,16.51947152090365,-3.858916762250921,58.988159412073315
13,58,25.88170636873441,16.470227004691402,1.4865378808107437,68.53410078537587
14,58,26.226418125967346,13.10563557218908,-8.681939071962553,52.64020710269175
15,58,32.3525559179594,16.920501630582937,3.307026735151382,70.08460868219419
16,58,32.56383755374208,14.222392631439535,5.807894925812189,79.59953656800111
17,58,35.00971694347566,12.725240142566902,0.5046711284942944,67.2789471614364
18,58,34.3485715583662,12.76210295203694,4.730293109679501,61.42154621072131
19,58,37.82838114060722,14.958742181030246,-3.121892511603452,72.8286913099011
20,58,38.233889976906624,16.647487030142837,5.659760477397885,72.57188485795696
21,58,41.36325515539017,13.67897513135312,4.641217271243935,72.06824358413893
22,58,34.471479152031264,15.95025681198825,-5.003296971799127,64.69085726006485
23,58,34.96298144295436,17.41494387154307,0.7712584918541978,72.59186957330786
24,58,33.442407380122944,16.357597210250212,3.348051485144474,72.62267678653791
25,58,37.137937121366754,16.79990725347054,-6.31779517515503,68.16485213664566
26,58,37.51823236246368,20.38409920860644,-6.034975481184354,79.12667047404784
27,58,35.73827005559403,17.201380930002543,-8.809225234821582,70.00894361765486
28,58,37.987226500299144,17.77330325092122,-6.674336130360551,72.51423285622722
29,58,38.977862407771845,17.722690615047142,5.817731268443815,78.57806969163971
30,58,39.13456424694287,18.828204756587375,2.702851232598185,79.01349215680251
31,58,42.791853819499465,16.40567597461973,12.508651598277854,85.32481314118614
32,58,40.37974611124979,19.68560022559884,-3.6545334070421447,84.02126763280647
33,58,45.10095876706518,15.229826747090812,6.150824829341715,83.80240098607027
34,58,46.60779595761302,15.085201130561998,15.059878818638346,84.43795149190737
35,58,46.00549884003803,16.456483255688475,16.54786955798365,85.37787670793313
36,58,45.72387446901339,16.825165460779903,-0.586578858838628,79.08202413265977
37,58,49.43046397544716,14.622641179123553,-4.50425347839591,85.79605504288747
